ASSERTION	AAEDAAEBAQAAAAAAAHCnQA==
ASSERTION	AAECAAIBAAAAAAAAAPA/
RUN	parabank.ConsultarEstadoCuentasTest	consultarestadocuentastest	1746167491661	 	3.3.1
USER	Consultar estado de cuentas	1	START	1746167493142	1746167493142
USER	Consultar estado de cuentas	5	START	1746167493143	1746167493143
USER	Consultar estado de cuentas	19	START	1746167493152	1746167493152
USER	Consultar estado de cuentas	2	START	1746167493142	1746167493142
USER	Consultar estado de cuentas	12	START	1746167493145	1746167493145
USER	Consultar estado de cuentas	25	START	1746167493261	1746167493261
USER	Consultar estado de cuentas	26	START	1746167493261	1746167493261
USER	Consultar estado de cuentas	13	START	1746167493145	1746167493145
USER	Consultar estado de cuentas	15	START	1746167493147	1746167493147
USER	Consultar estado de cuentas	27	START	1746167493262	1746167493262
USER	Consultar estado de cuentas	23	START	1746167493157	1746167493157
USER	Consultar estado de cuentas	28	START	1746167493262	1746167493262
USER	Consultar estado de cuentas	10	START	1746167493144	1746167493144
USER	Consultar estado de cuentas	34	START	1746167493263	1746167493263
USER	Consultar estado de cuentas	32	START	1746167493263	1746167493263
USER	Consultar estado de cuentas	30	START	1746167493263	1746167493263
USER	Consultar estado de cuentas	31	START	1746167493263	1746167493263
USER	Consultar estado de cuentas	37	START	1746167493263	1746167493263
USER	Consultar estado de cuentas	38	START	1746167493263	1746167493263
USER	Consultar estado de cuentas	29	START	1746167493262	1746167493262
USER	Consultar estado de cuentas	41	START	1746167493264	1746167493264
USER	Consultar estado de cuentas	40	START	1746167493264	1746167493264
USER	Consultar estado de cuentas	35	START	1746167493263	1746167493263
USER	Consultar estado de cuentas	36	START	1746167493263	1746167493263
USER	Consultar estado de cuentas	44	START	1746167493264	1746167493264
USER	Consultar estado de cuentas	42	START	1746167493264	1746167493264
USER	Consultar estado de cuentas	43	START	1746167493264	1746167493264
USER	Consultar estado de cuentas	39	START	1746167493263	1746167493263
USER	Consultar estado de cuentas	47	START	1746167493265	1746167493265
USER	Consultar estado de cuentas	46	START	1746167493264	1746167493264
USER	Consultar estado de cuentas	49	START	1746167493265	1746167493265
USER	Consultar estado de cuentas	50	START	1746167493265	1746167493265
USER	Consultar estado de cuentas	51	START	1746167493265	1746167493265
USER	Consultar estado de cuentas	52	START	1746167493265	1746167493265
USER	Consultar estado de cuentas	48	START	1746167493265	1746167493265
USER	Consultar estado de cuentas	56	START	1746167493266	1746167493266
USER	Consultar estado de cuentas	55	START	1746167493266	1746167493266
USER	Consultar estado de cuentas	53	START	1746167493265	1746167493265
USER	Consultar estado de cuentas	57	START	1746167493266	1746167493266
USER	Consultar estado de cuentas	58	START	1746167493266	1746167493266
USER	Consultar estado de cuentas	45	START	1746167493264	1746167493264
USER	Consultar estado de cuentas	6	START	1746167493143	1746167493143
USER	Consultar estado de cuentas	59	START	1746167493266	1746167493266
USER	Consultar estado de cuentas	60	START	1746167493266	1746167493266
USER	Consultar estado de cuentas	62	START	1746167493267	1746167493267
USER	Consultar estado de cuentas	63	START	1746167493267	1746167493267
