ASSERTION	AAICAAMBAAAAAAAAAFlA
RUN	parabank.EscalabilidadEnTransaccTest	escalabilidadentransacctest	1745973029508	 	3.3.1
USER	Probar escalabilidad en transacciones	6	START	1745973031139	1745973031139
USER	Probar escalabilidad en transacciones	7	START	1745973031139	1745973031139
USER	Probar escalabilidad en transacciones	4	START	1745973031092	1745973031092
USER	Probar escalabilidad en transacciones	8	START	1745973031143	1745973031143
USER	Probar escalabilidad en transacciones	3	START	1745973031092	1745973031092
USER	Probar escalabilidad en transacciones	1	START	1745973031092	1745973031092
USER	Probar escalabilidad en transacciones	2	START	1745973031092	1745973031092
USER	Probar escalabilidad en transacciones	5	START	1745973031125	1745973031125
USER	Probar escalabilidad en transacciones	9	START	1745973031167	1745973031167
USER	Probar escalabilidad en transacciones	11	START	1745973031167	1745973031167
USER	Probar escalabilidad en transacciones	10	START	1745973031167	1745973031167
USER	Probar escalabilidad en transacciones	12	START	1745973031187	1745973031187
USER	Probar escalabilidad en transacciones	13	START	1745973031187	1745973031187
USER	Probar escalabilidad en transacciones	14	START	1745973031187	1745973031187
USER	Probar escalabilidad en transacciones	16	START	1745973031207	1745973031207
USER	Probar escalabilidad en transacciones	17	START	1745973031207	1745973031207
USER	Probar escalabilidad en transacciones	15	START	1745973031207	1745973031207
USER	Probar escalabilidad en transacciones	19	START	1745973031213	1745973031213
USER	Probar escalabilidad en transacciones	18	START	1745973031213	1745973031213
USER	Probar escalabilidad en transacciones	21	START	1745973031240	1745973031240
USER	Probar escalabilidad en transacciones	20	START	1745973031240	1745973031240
USER	Probar escalabilidad en transacciones	22	START	1745973031241	1745973031241
USER	Probar escalabilidad en transacciones	23	START	1745973031243	1745973031243
USER	Probar escalabilidad en transacciones	24	START	1745973031262	1745973031262
USER	Probar escalabilidad en transacciones	25	START	1745973031262	1745973031262
USER	Probar escalabilidad en transacciones	26	START	1745973031263	1745973031263
USER	Probar escalabilidad en transacciones	27	START	1745973031278	1745973031278
USER	Probar escalabilidad en transacciones	28	START	1745973031278	1745973031278
USER	Probar escalabilidad en transacciones	29	START	1745973031283	1745973031283
USER	Probar escalabilidad en transacciones	31	START	1745973031294	1745973031294
USER	Probar escalabilidad en transacciones	30	START	1745973031294	1745973031294
USER	Probar escalabilidad en transacciones	32	START	1745973031309	1745973031309
USER	Probar escalabilidad en transacciones	34	START	1745973031313	1745973031313
USER	Probar escalabilidad en transacciones	33	START	1745973031313	1745973031313
USER	Probar escalabilidad en transacciones	35	START	1745973031325	1745973031325
USER	Probar escalabilidad en transacciones	37	START	1745973031341	1745973031341
USER	Probar escalabilidad en transacciones	36	START	1745973031340	1745973031340
USER	Probar escalabilidad en transacciones	38	START	1745973031343	1745973031343
USER	Probar escalabilidad en transacciones	40	START	1745973031357	1745973031357
USER	Probar escalabilidad en transacciones	39	START	1745973031357	1745973031357
USER	Probar escalabilidad en transacciones	41	START	1745973031372	1745973031372
USER	Probar escalabilidad en transacciones	42	START	1745973031373	1745973031373
USER	Probar escalabilidad en transacciones	43	START	1745973031373	1745973031373
USER	Probar escalabilidad en transacciones	44	START	1745973031387	1745973031387
USER	Probar escalabilidad en transacciones	46	START	1745973031403	1745973031403
USER	Probar escalabilidad en transacciones	45	START	1745973031403	1745973031403
USER	Probar escalabilidad en transacciones	47	START	1745973031403	1745973031403
USER	Probar escalabilidad en transacciones	48	START	1745973031419	1745973031419
USER	Probar escalabilidad en transacciones	49	START	1745973031419	1745973031419
USER	Probar escalabilidad en transacciones	50	START	1745973031423	1745973031423
USER	Probar escalabilidad en transacciones	51	START	1745973031434	1745973031434
USER	Probar escalabilidad en transacciones	52	START	1745973031434	1745973031434
USER	Probar escalabilidad en transacciones	53	START	1745973031458	1745973031458
USER	Probar escalabilidad en transacciones	55	START	1745973031459	1745973031459
USER	Probar escalabilidad en transacciones	54	START	1745973031459	1745973031459
USER	Probar escalabilidad en transacciones	56	START	1745973031482	1745973031482
USER	Probar escalabilidad en transacciones	57	START	1745973031482	1745973031482
USER	Probar escalabilidad en transacciones	58	START	1745973031482	1745973031482
USER	Probar escalabilidad en transacciones	59	START	1745973031486	1745973031486
USER	Probar escalabilidad en transacciones	61	START	1745973031498	1745973031498
USER	Probar escalabilidad en transacciones	60	START	1745973031498	1745973031498
USER	Probar escalabilidad en transacciones	62	START	1745973031503	1745973031503
USER	Probar escalabilidad en transacciones	64	START	1745973031519	1745973031519
USER	Probar escalabilidad en transacciones	63	START	1745973031519	1745973031519
USER	Probar escalabilidad en transacciones	65	START	1745973031523	1745973031523
USER	Probar escalabilidad en transacciones	66	START	1745973031554	1745973031554
USER	Probar escalabilidad en transacciones	67	START	1745973031554	1745973031554
USER	Probar escalabilidad en transacciones	68	START	1745973031554	1745973031554
USER	Probar escalabilidad en transacciones	69	START	1745973031554	1745973031554
USER	Probar escalabilidad en transacciones	70	START	1745973031555	1745973031555
USER	Probar escalabilidad en transacciones	71	START	1745973031567	1745973031567
USER	Probar escalabilidad en transacciones	72	START	1745973031580	1745973031580
USER	Probar escalabilidad en transacciones	73	START	1745973031580	1745973031580
USER	Probar escalabilidad en transacciones	74	START	1745973031583	1745973031583
USER	Probar escalabilidad en transacciones	76	START	1745973031594	1745973031594
USER	Probar escalabilidad en transacciones	75	START	1745973031594	1745973031594
USER	Probar escalabilidad en transacciones	77	START	1745973031606	1745973031606
USER	Probar escalabilidad en transacciones	78	START	1745973031618	1745973031618
