RUN	parabank.LoginTest	logintest	1745973045891	 	3.3.1
USER	Login	1	START	1745973047393	1745973047393
USER	Login	2	START	1745973047597	1745973047597
USER	Login	3	START	1745973047788	1745973047788
REQUEST	1		login	1745973047433	1745973047795	OK	 
USER	Login	1	END	1745973047393	1745973047821
REQUEST	2		login	1745973047600	1745973047928	OK	 
USER	Login	2	END	1745973047597	1745973047930
USER	Login	4	START	1745973047989	1745973047989
REQUEST	3		login	1745973047790	1745973048132	OK	 
USER	Login	3	END	1745973047788	1745973048134
USER	Login	5	START	1745973048193	1745973048193
REQUEST	4		login	1745973047990	1745973048321	OK	 
USER	Login	4	END	1745973047989	1745973048323
USER	Login	6	START	1745973048395	1745973048395
REQUEST	5		login	1745973048194	1745973048531	OK	 
USER	Login	5	END	1745973048193	1745973048533
USER	Login	7	START	1745973048595	1745973048595
REQUEST	6		login	1745973048396	1745973048771	OK	 
USER	Login	6	END	1745973048395	1745973048772
USER	Login	8	START	1745973048798	1745973048798
REQUEST	7		login	1745973048596	1745973048950	OK	 
USER	Login	7	END	1745973048595	1745973048952
USER	Login	9	START	1745973048988	1745973048988
REQUEST	8		login	1745973048799	1745973049132	OK	 
USER	Login	8	END	1745973048798	1745973049134
USER	Login	10	START	1745973049188	1745973049188
REQUEST	9		login	1745973048990	1745973049297	OK	 
USER	Login	9	END	1745973048988	1745973049299
USER	Login	11	START	1745973049388	1745973049388
REQUEST	10		login	1745973049190	1745973049520	OK	 
USER	Login	10	END	1745973049188	1745973049521
USER	Login	12	START	1745973049544	1745973049544
USER	Login	13	START	1745973049717	1745973049717
REQUEST	11		login	1745973049389	1745973049761	OK	 
USER	Login	11	END	1745973049388	1745973049763
USER	Login	14	START	1745973049888	1745973049888
REQUEST	12		login	1745973049545	1745973049896	OK	 
USER	Login	12	END	1745973049544	1745973049897
USER	Login	15	START	1745973050040	1745973050040
REQUEST	13		login	1745973049719	1745973050044	OK	 
USER	Login	13	END	1745973049717	1745973050046
USER	Login	16	START	1745973050210	1745973050210
REQUEST	14		login	1745973049889	1745973050213	OK	 
USER	Login	14	END	1745973049888	1745973050214
USER	Login	17	START	1745973050379	1745973050379
REQUEST	15		login	1745973050041	1745973050383	OK	 
USER	Login	15	END	1745973050040	1745973050384
REQUEST	16		login	1745973050211	1745973050540	OK	 
USER	Login	16	END	1745973050210	1745973050541
USER	Login	18	START	1745973050568	1745973050568
USER	Login	19	START	1745973050718	1745973050718
REQUEST	17		login	1745973050379	1745973050727	OK	 
USER	Login	17	END	1745973050379	1745973050729
USER	Login	20	START	1745973050891	1745973050891
REQUEST	18		login	1745973050569	1745973050895	OK	 
USER	Login	18	END	1745973050568	1745973050896
REQUEST	19		login	1745973050719	1745973051051	OK	 
USER	Login	19	END	1745973050718	1745973051053
USER	Login	21	START	1745973051066	1745973051066
REQUEST	20		login	1745973050892	1745973051215	OK	 
USER	Login	20	END	1745973050891	1745973051216
USER	Login	22	START	1745973051218	1745973051218
USER	Login	23	START	1745973051391	1745973051391
REQUEST	21		login	1745973051067	1745973051405	OK	 
USER	Login	21	END	1745973051066	1745973051407
USER	Login	24	START	1745973051519	1745973051519
REQUEST	22		login	1745973051219	1745973051560	OK	 
USER	Login	22	END	1745973051218	1745973051561
USER	Login	25	START	1745973051663	1745973051663
REQUEST	23		login	1745973051392	1745973051723	OK	 
USER	Login	23	END	1745973051391	1745973051724
USER	Login	26	START	1745973051799	1745973051799
REQUEST	24		login	1745973051519	1745973051861	OK	 
USER	Login	24	END	1745973051519	1745973051862
USER	Login	27	START	1745973051956	1745973051956
REQUEST	25		login	1745973051664	1745973052010	OK	 
USER	Login	25	END	1745973051663	1745973052012
USER	Login	28	START	1745973052099	1745973052099
REQUEST	26		login	1745973051800	1745973052110	OK	 
USER	Login	26	END	1745973051799	1745973052111
