ASSERTION	AAMAARNMb2dpbiAxMDAvbG9naW5fMTAwAwABAQEAAAAAAABAn0A=
ASSERTION	AAMAARNMb2dpbiAyMDAvbG9naW5fMjAwAwABAQEAAAAAAACIs0A=
RUN	parabank.LoginTest	logintest	1746084763436	 	3.3.1
USER	Carga Normal	22	START	1746084765119	1746084765119
USER	Carga Normal	24	START	1746084765129	1746084765129
USER	Carga Normal	3	START	1746084765112	1746084765112
USER	Carga Normal	13	START	1746084765114	1746084765114
USER	Carga Normal	17	START	1746084765115	1746084765115
USER	Carga Normal	26	START	1746084765261	1746084765261
USER	Carga Normal	29	START	1746084765261	1746084765261
USER	Carga Normal	28	START	1746084765261	1746084765261
USER	Carga Normal	27	START	1746084765261	1746084765261
USER	Carga Normal	32	START	1746084765262	1746084765262
USER	Carga Normal	31	START	1746084765262	1746084765262
USER	Carga Normal	30	START	1746084765262	1746084765262
USER	Carga Normal	25	START	1746084765261	1746084765261
USER	Carga Normal	33	START	1746084765263	1746084765263
USER	Carga Normal	35	START	1746084765263	1746084765263
USER	Carga Normal	34	START	1746084765263	1746084765263
USER	Carga Normal	21	START	1746084765119	1746084765119
USER	Carga Normal	36	START	1746084765263	1746084765263
USER	Carga Normal	38	START	1746084765264	1746084765264
USER	Carga Normal	37	START	1746084765263	1746084765263
USER	Carga Normal	39	START	1746084765264	1746084765264
USER	Carga Normal	40	START	1746084765264	1746084765264
USER	Carga Normal	42	START	1746084765264	1746084765264
USER	Carga Normal	43	START	1746084765264	1746084765264
USER	Carga Normal	45	START	1746084765265	1746084765265
USER	Carga Normal	46	START	1746084765265	1746084765265
USER	Carga Normal	7	START	1746084765113	1746084765113
USER	Carga Normal	47	START	1746084765265	1746084765265
USER	Carga Normal	49	START	1746084765265	1746084765265
USER	Carga Normal	48	START	1746084765265	1746084765265
USER	Carga Normal	50	START	1746084765266	1746084765266
USER	Carga Normal	44	START	1746084765265	1746084765265
USER	Carga Normal	41	START	1746084765264	1746084765264
USER	Carga Normal	11	START	1746084765113	1746084765113
USER	Carga Normal	53	START	1746084765266	1746084765266
USER	Carga Normal	52	START	1746084765266	1746084765266
USER	Carga Normal	54	START	1746084765266	1746084765266
USER	Carga Normal	59	START	1746084765266	1746084765266
USER	Carga Normal	55	START	1746084765266	1746084765266
USER	Carga Normal	51	START	1746084765266	1746084765266
USER	Carga Normal	61	START	1746084765267	1746084765267
USER	Carga Normal	60	START	1746084765267	1746084765267
USER	Carga Normal	56	START	1746084765266	1746084765266
USER	Carga Normal	64	START	1746084765268	1746084765268
USER	Carga Normal	63	START	1746084765267	1746084765267
USER	Carga Normal	9	START	1746084765113	1746084765113
USER	Carga Normal	65	START	1746084765268	1746084765268
USER	Carga Normal	62	START	1746084765267	1746084765267
USER	Carga Normal	67	START	1746084765268	1746084765268
USER	Carga Normal	66	START	1746084765268	1746084765268
USER	Carga Normal	68	START	1746084765268	1746084765268
USER	Carga Normal	72	START	1746084765269	1746084765269
USER	Carga Normal	69	START	1746084765269	1746084765269
USER	Carga Normal	73	START	1746084765269	1746084765269
USER	Carga Normal	71	START	1746084765269	1746084765269
USER	Carga Normal	76	START	1746084765269	1746084765269
USER	Carga Normal	75	START	1746084765269	1746084765269
USER	Carga Normal	79	START	1746084765270	1746084765270
USER	Carga Normal	80	START	1746084765270	1746084765270
USER	Carga Normal	78	START	1746084765269	1746084765269
USER	Carga Normal	82	START	1746084765270	1746084765270
USER	Carga Normal	81	START	1746084765270	1746084765270
USER	Carga Normal	83	START	1746084765270	1746084765270
USER	Carga Normal	77	START	1746084765269	1746084765269
USER	Carga Normal	85	START	1746084765271	1746084765271
USER	Carga Normal	86	START	1746084765271	1746084765271
USER	Carga Normal	84	START	1746084765271	1746084765271
USER	Carga Normal	70	START	1746084765269	1746084765269
USER	Carga Normal	74	START	1746084765269	1746084765269
USER	Carga Normal	88	START	1746084765272	1746084765272
USER	Carga Normal	89	START	1746084765272	1746084765272
USER	Carga Normal	90	START	1746084765272	1746084765272
USER	Carga Normal	92	START	1746084765272	1746084765272
USER	Carga Normal	91	START	1746084765272	1746084765272
USER	Carga Normal	94	START	1746084765272	1746084765272
USER	Carga Normal	93	START	1746084765272	1746084765272
USER	Carga Normal	96	START	1746084765272	1746084765272
USER	Carga Normal	97	START	1746084765273	1746084765273
USER	Carga Normal	98	START	1746084765273	1746084765273
USER	Carga Normal	99	START	1746084765273	1746084765273
USER	Carga Pico	101	START	1746084765273	1746084765273
USER	Carga Normal	100	START	1746084765273	1746084765273
USER	Carga Pico	102	START	1746084765273	1746084765273
USER	Carga Pico	105	START	1746084765273	1746084765273
USER	Carga Normal	87	START	1746084765271	1746084765271
USER	Carga Pico	103	START	1746084765273	1746084765273
USER	Carga Normal	57	START	1746084765266	1746084765266
USER	Carga Pico	109	START	1746084765274	1746084765274
USER	Carga Pico	108	START	1746084765274	1746084765274
USER	Carga Pico	106	START	1746084765274	1746084765274
USER	Carga Pico	110	START	1746084765274	1746084765274
USER	Carga Pico	107	START	1746084765274	1746084765274
USER	Carga Pico	111	START	1746084765275	1746084765275
USER	Carga Pico	112	START	1746084765275	1746084765275
USER	Carga Pico	113	START	1746084765275	1746084765275
USER	Carga Pico	104	START	1746084765273	1746084765273
USER	Carga Pico	114	START	1746084765275	1746084765275
USER	Carga Pico	117	START	1746084765275	1746084765275
USER	Carga Pico	116	START	1746084765275	1746084765275
USER	Carga Pico	115	START	1746084765275	1746084765275
USER	Carga Pico	118	START	1746084765275	1746084765275
USER	Carga Pico	120	START	1746084765275	1746084765275
USER	Carga Pico	122	START	1746084765276	1746084765276
USER	Carga Pico	121	START	1746084765276	1746084765276
USER	Carga Pico	123	START	1746084765276	1746084765276
USER	Carga Pico	124	START	1746084765276	1746084765276
USER	Carga Pico	119	START	1746084765275	1746084765275
USER	Carga Pico	125	START	1746084765276	1746084765276
USER	Carga Pico	127	START	1746084765276	1746084765276
USER	Carga Pico	126	START	1746084765276	1746084765276
USER	Carga Pico	128	START	1746084765276	1746084765276
USER	Carga Pico	129	START	1746084765276	1746084765276
USER	Carga Pico	130	START	1746084765276	1746084765276
USER	Carga Pico	131	START	1746084765276	1746084765276
USER	Carga Pico	133	START	1746084765277	1746084765277
USER	Carga Pico	132	START	1746084765277	1746084765277
USER	Carga Pico	134	START	1746084765277	1746084765277
USER	Carga Pico	135	START	1746084765277	1746084765277
USER	Carga Pico	136	START	1746084765277	1746084765277
USER	Carga Pico	138	START	1746084765277	1746084765277
USER	Carga Pico	137	START	1746084765277	1746084765277
USER	Carga Pico	140	START	1746084765277	1746084765277
USER	Carga Pico	141	START	1746084765277	1746084765277
USER	Carga Pico	142	START	1746084765278	1746084765278
USER	Carga Pico	144	START	1746084765278	1746084765278
USER	Carga Pico	146	START	1746084765278	1746084765278
USER	Carga Pico	143	START	1746084765278	1746084765278
USER	Carga Pico	145	START	1746084765278	1746084765278
USER	Carga Pico	147	START	1746084765278	1746084765278
USER	Carga Normal	58	START	1746084765266	1746084765266
USER	Carga Pico	148	START	1746084765278	1746084765278
USER	Carga Pico	149	START	1746084765278	1746084765278
USER	Carga Pico	152	START	1746084765278	1746084765278
USER	Carga Pico	151	START	1746084765278	1746084765278
USER	Carga Pico	153	START	1746084765278	1746084765278
USER	Carga Pico	150	START	1746084765278	1746084765278
USER	Carga Pico	154	START	1746084765279	1746084765279
USER	Carga Pico	155	START	1746084765279	1746084765279
USER	Carga Pico	157	START	1746084765279	1746084765279
USER	Carga Pico	159	START	1746084765279	1746084765279
USER	Carga Pico	158	START	1746084765279	1746084765279
USER	Carga Pico	156	START	1746084765279	1746084765279
USER	Carga Pico	161	START	1746084765279	1746084765279
USER	Carga Pico	165	START	1746084765280	1746084765280
USER	Carga Pico	163	START	1746084765280	1746084765280
USER	Carga Pico	164	START	1746084765280	1746084765280
USER	Carga Pico	162	START	1746084765280	1746084765280
USER	Carga Pico	166	START	1746084765280	1746084765280
USER	Carga Pico	167	START	1746084765280	1746084765280
USER	Carga Pico	168	START	1746084765280	1746084765280
USER	Carga Pico	169	START	1746084765280	1746084765280
USER	Carga Pico	171	START	1746084765280	1746084765280
USER	Carga Pico	139	START	1746084765277	1746084765277
