ASSERTION	AAIDAAEBAQAAAAAAAECfQA==
ASSERTION	AAEDAAEBAQAAAAAAAIizQA==
RUN	parabank.LoginTest	logintest	1746167524076	 	3.3.1
USER	Login	18	START	1746167525369	1746167525369
USER	Login	19	START	1746167525370	1746167525370
USER	Login	23	START	1746167525371	1746167525371
USER	Login	22	START	1746167525370	1746167525370
USER	Login	10	START	1746167525366	1746167525366
USER	Login	13	START	1746167525367	1746167525367
USER	Login	8	START	1746167525365	1746167525365
USER	Login	15	START	1746167525367	1746167525367
USER	Login	25	START	1746167525469	1746167525469
USER	Login	26	START	1746167525470	1746167525470
USER	Login	27	START	1746167525470	1746167525470
USER	Login	31	START	1746167525470	1746167525470
USER	Login	29	START	1746167525470	1746167525470
USER	Login	32	START	1746167525470	1746167525470
USER	Login	36	START	1746167525471	1746167525471
USER	Login	30	START	1746167525470	1746167525470
USER	Login	37	START	1746167525472	1746167525472
USER	Login	28	START	1746167525470	1746167525470
USER	Login	38	START	1746167525472	1746167525472
USER	Login	34	START	1746167525471	1746167525471
USER	Login	39	START	1746167525472	1746167525472
USER	Login	40	START	1746167525472	1746167525472
USER	Login	42	START	1746167525472	1746167525472
USER	Login	44	START	1746167525473	1746167525473
USER	Login	43	START	1746167525473	1746167525473
USER	Login	41	START	1746167525472	1746167525472
USER	Login	35	START	1746167525471	1746167525471
USER	Login	33	START	1746167525470	1746167525470
USER	Login	48	START	1746167525474	1746167525474
USER	Login	46	START	1746167525473	1746167525473
USER	Login	45	START	1746167525473	1746167525473
USER	Login	47	START	1746167525473	1746167525473
USER	Login	52	START	1746167525474	1746167525474
USER	Login	54	START	1746167525475	1746167525475
USER	Login	55	START	1746167525475	1746167525475
USER	Login	51	START	1746167525474	1746167525474
USER	Login	53	START	1746167525474	1746167525474
USER	Login	49	START	1746167525474	1746167525474
USER	Login	56	START	1746167525475	1746167525475
USER	Login	50	START	1746167525474	1746167525474
USER	Login	60	START	1746167525475	1746167525475
USER	Login	61	START	1746167525475	1746167525475
USER	Login	59	START	1746167525475	1746167525475
USER	Login	58	START	1746167525475	1746167525475
USER	Login	62	START	1746167525476	1746167525476
USER	Login	64	START	1746167525476	1746167525476
USER	Login	63	START	1746167525476	1746167525476
USER	Login	65	START	1746167525476	1746167525476
USER	Login	66	START	1746167525476	1746167525476
